A1,A2,period,A
0.4540304846380551,-0,-3100,0.4540304846380551
0.4016696668454144,-0,-3000,0.4016696668454144
0.37704553922512385,-0,-2900,0.37704553922512385
0.36554691589591654,-0,-2550,0.36554691589591654
0.5947062970523398,-0,-2100,0.5947062970523398
0,-0.7793248971422908,-1600,-0.7793248971422908
0,-0.7393850729280386,-1500,-0.7393850729280386
0,-0.7693880661916531,-1400,-0.7693880661916531
0.46552709577823476,-3.1511312573332144e-4,-1200,0.4652119826525014
0.0022891699594744215,-0.26660667861573234,-900,-0.2643175086562579
0,-0.544855796566348,-600,-0.544855796566348
0.32197983236794936,-0.019564595378310134,-300,0.30241523698963924
0.22758871417102727,-0.05375074835641068,-50,0.17383796581461658
0.559507357981274,-0,300,0.559507357981274
