time_start,backward,forward,added,removed,total,new_sites,pct_change
-3100,9,12,3,19,12,-16,-57.14285714285714
-3000,10,10,NA,2,10,-2,-16.666666666666664
-2900,10,11,1,NA,11,1,10
-2550,11,18,7,NA,18,7,63.63636363636363
-2100,17,17,NA,1,17,-1,-5.555555555555555
-1600,4,21,17,NA,21,17,425
-1500,20,20,NA,1,20,-1,-4.761904761904762
-1400,19,21,2,1,21,1,5
-1200,18,40,22,3,40,19,90.47619047619048
-900,40,44,4,NA,44,4,10
-600,36,4,NA,8,36,-8,-18.181818181818183
-300,1,37,36,NA,37,36,3600
-50,24,32,8,13,32,-5,-13.513513513513514
300,8,30,22,NA,30,22,275
